,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
1493750,0.0925409036673,0.197258650656,0.0074917865763,0.00337826425703,2.7241869664e-07,2.7241869664e-07,0.0562002495355,2.7241869664e-07,0.264437101247,0.000490626072649,0.00365068295367,0.13043434437,0.00245204068846,0.0282228493906,0.0589244365019,0.00212513825249,0.00228858947047,2.72418696646e-07,0.114334399398,0.0357688472875
7123177,0.0237535509071,0.364089165429,1.34504056642e-07,1.34504056642e-07,1.34504056642e-07,1.34504056642e-07,0.10461738976,0.00255571158026,0.00289197172187,1.34504056642e-07,0.000793708438246,0.00129137344782,1.34504056642e-07,0.0285956969462,0.00551480082639,1.34504056645e-07,0.108840817139,0.123205850388,0.149017178858,0.0848318430284
8977326,0.00197130875934,2.85655522293e-07,0.000828686670171,2.85655522292e-07,2.85655522293e-07,0.015140028337,2.85655522293e-07,0.00562769944469,0.676232603579,0.00145712881921,2.85655522292e-07,0.0990084896821,0.0062275760415,0.0504756164446,0.141342638086,2.85655522292e-07,0.000400203386732,2.85655522293e-07,0.00048590004342,0.000800121117941
5891849,0.00453273083537,0.205076578558,6.66480052251e-07,6.66480052251e-07,6.66480052251e-07,0.0193285879954,6.66480052252e-07,0.0203283080737,6.66480052251e-07,6.66480052251e-07,0.000800442542755,0.00333306674131,0.0392563415577,0.186415137095,0.316978579331,0.00173351461591,0.000400554511403,6.66480052251e-07,6.66480052251e-07,0.201810826302
8427860,0.00912954146181,0.273556250027,2.15823301147e-07,2.15823301147e-07,2.15823301147e-07,0.0142229713689,0.0450641211028,2.15823301147e-07,0.00498573407979,2.15823301147e-07,0.0798764195778,0.00645333252759,2.15823301147e-07,0.022899068075,2.15823301147e-07,2.15823301152e-07,2.15823301147e-07,0.0664737925765,0.191176495979,0.286160330814
7703586,0.0404701812571,0.304611153631,0.00133649804408,0.232934403625,1.51857521199e-07,1.51857521203e-07,0.000637953446558,1.51857521203e-07,0.0116172522293,0.0447829348592,1.51857521199e-07,1.51857521199e-07,0.12674043905,0.125191492334,0.0826865721505,0.00362954661418,0.0164766929076,0.00173132759919,0.000683510702918,0.00646928226061
11627390,0.030583115326,0.0388101788985,0.00310320102952,0.0321304458849,8.45535824526e-08,8.45535824507e-08,0.00182644193452,0.216989943197,0.0187878905741,0.0229310161142,8.45535824526e-08,0.000439763182326,0.572478569895,0.0378716341333,0.0170122653427,8.45535824507e-08,0.00584273710093,8.45535824507e-08,0.00119229006614,8.45535824507e-08
11259639,0.219611934168,0.221572334089,4.66761886091e-07,4.66761886102e-07,4.66761886091e-07,4.66761886091e-07,4.66761886091e-07,0.00406129517088,4.66761886091e-07,4.66761886091e-07,9.38191391044e-05,0.00555493320637,0.0709949496364,0.0594192548613,0.0987206056702,0.260686980144,4.66761886091e-07,0.0592792262955,4.66761886091e-07,4.66761886091e-07
1988056,3.65454332826e-07,0.0830315898725,3.65454332827e-07,3.65454332827e-07,3.65454332826e-07,3.65454332826e-07,3.65454332826e-07,3.65454332826e-07,0.672107428956,0.000402365220442,3.65454332826e-07,0.00942908724126,3.65454332826e-07,0.0573766957081,0.120673386154,3.65454332826e-07,3.65454332826e-07,3.65454332826e-07,0.056974695942,3.65454332826e-07
8599765,0.628076614067,0.0741807786211,3.90012558404e-07,0.000390402570963,3.90012558404e-07,0.0240251636103,3.90012558404e-07,3.90012558404e-07,0.0328004461744,3.90012558404e-07,3.90012558404e-07,0.00366650806156,3.90012558404e-07,0.0808499933698,0.147269132066,3.90012558404e-07,3.90012558404e-07,3.90012558404e-07,0.00417352438749,0.00456353694589
